nces_id,corp_id,corp_name,address,city,state,zip,lon,lat,coord
1800060,0015,Adams Central Community Schools,222 W Washington St,Monroe,IN,46772-9436,-84.941778,40.7466331,40.7466331+-84.941778
1807680,0025,North Adams Community Schools,625 Stadium Dr,Decatur,IN,46733,-84.9129215,40.8369624,40.8369624+-84.9129215
1810260,0035,South Adams Schools,1075 Starfire Way,Berne,IN,46711,-84.9592768,40.6471358,40.6471358+-84.9592768
1800030,0125,Metropolitan School District Southwest Allen County Schools,4824 Homestead Rd,Fort Wayne,IN,46814,-85.2849648,41.0391371,41.0391371+-85.2849648
1808250,0225,Northwest Allen County Schools,13119 Coldwater Rd,Fort Wayne,IN,46845,-85.1365144,41.2044412,41.2044412+-85.1365144
1803630,0235,Fort Wayne Community Schools,1200 S Clinton St,Fort Wayne,IN,46802,-85.13779989999999,41.074349,41.074349+-85.1377999
1802850,0255,East Allen County Schools,1240 SR 930 E,New Haven,IN,46774,-85.01177320000001,41.0664972,41.0664972+-85.0117732
1800360,0365,Bartholomew Consolidated School Corporation,1200 Central Ave,Columbus,IN,47201,-85.9046965,39.2110398,39.2110398+-85.9046965
1803570,0370,Flat Rock-Hawcreek School Corporation,9423 N SR 9,Hope,IN,47246,-85.7714416,39.2933543,39.2933543+-85.7714416
1800480,0395,Benton Community School Corporation,PO Box 512,Fowler,IN,47944,-87.3208518,40.6167044,40.6167044+-87.3208518
1800570,0515,Blackford County Schools,0668 W 200 S,Hartford City,IN,47348,-85.3826845,40.4210207,40.4210207+-85.3826845
1812990,0615,Western Boone County Community School District,1201 N SR 75,Thorntown,IN,46071,-86.6195189,40.0572354,40.0572354+-86.6195189
1802830,0630,Zionsville Community Schools,900 Mulberry St,Zionsville,IN,46077,-86.27089199999999,39.9609071,39.9609071+-86.270892
1805790,0665,Lebanon Community School Corporation,1810 N Grant St,Lebanon,IN,46052,-86.4576285,40.0628062,40.0628062+-86.4576285
1800960,0670,Brown County School Corporation,357 E Main St,Nashville,IN,47448,-86.2427226,39.2055185,39.2055185+-86.2427226
1801290,0750,Carroll Consolidated School Corporation,2 S 3rd St,Flora,IN,46929,-86.5149909,40.5478728,40.5478728+-86.5149909
1802700,0755,Delphi Community School Corporation,501 Armory Rd,Delphi,IN,46923,-86.66886029999999,40.5759817,40.5759817+-86.6688603
1808940,0775,Pioneer Regional School Corporation,PO Box 577,Royal Center,IN,46978,-86.4997266,40.8644849,40.8644849+-86.4997266
1810680,0815,Lewis Cass Schools,100 S Main Street,Walton,IN,46994,-86.2421671,40.6603191,40.6603191+-86.2421671
1806030,0875,Logansport Community School Corporation,2829 George St,Logansport,IN,46947,-86.32951589999999,40.7562044,40.7562044+-86.3295159
1800212,0935,Borden-Henryville School Corporation,14312 Railroad St.,Memphis,IN,47143,-85.7608169,38.4872222,38.4872222+-85.7608169
1800213,0945,Silver Creek School Corporation,601 Renz Ave,Sellersburg,IN,47172,-85.7561303,38.4090818,38.4090818+-85.7561303
1801920,1000,Clarksville Community School Corporation,502 Little League Blvd,Clarksville,IN,47129,-85.76037,38.302952,38.302952+-85.76037
1803940,1010,Greater Clark County Schools,2112 Utica-Sellersburg Rd,Jeffersonville,IN,47130,-85.6802858,38.3379933,38.3379933+-85.6802858
NA,1025,IDOE Test LEA,115 W. Washington Street,Indianpolis,IN,46024,-86.16076729999999,39.7665282,39.7665282+-86.1607673
1800840,1125,Clay Community Schools,1013 S Forest Ave,Brazil,IN,47834,-87.1258249,39.5134072,39.5134072+-87.1258249
1802130,1150,Clinton Central School Corporation,Box 118,Michigantown,IN,46057,-86.3927764,40.3264255,40.3264255+-86.3927764
1802160,1160,Clinton Prairie School Corporation,2390 S CR 450 W,Frankfort,IN,46041,-86.5920065,40.2512842,40.2512842+-86.5920065
1803660,1170,Community Schools of Frankfort,2400 E Wabash Ave,Frankfort,IN,46041,-86.4815293,40.2795014,40.2795014+-86.4815293
1809720,1180,Rossville Consolidated School District,PO Box 11,Rossville,IN,46065,-86.59472389999999,40.4169804,40.4169804+-86.5947239
1802440,1300,Crawford County Community School Corporation,5805 E Administration Rd,Marengo,IN,47140,-86.3524482,38.3216422,38.3216422+-86.3524482
1800330,1315,Barr-Reeve Community Schools Incorporated,Box 97,Montgomery,IN,47558,-87.0461181,38.66254929999999,38.6625493+-87.0461181
1807710,1375,North Daviess Community Schools,5494 E SR 58,Elnora,IN,47529,-87.0621139,38.8474324,38.8474324+-87.0621139
1812450,1405,Washington Community Schools,301 E South St,Washington,IN,47501,-87.172009,38.6558995,38.6558995+-87.172009
1811600,1425,Twin Rivers Career & Technology Ed Area,PO Box 1266,Vincennes,IN,47591,-87.5286325,38.677269,38.677269+-87.5286325
1802580,1440,Daviess-Martin Special Ed Cooperative,9 West Main Street,Washington,IN,47501,-87.1761363,38.6567356,38.6567356+-87.1761363
1811190,1560,Sunman-Dearborn Community School Corporation,1 Trojan Place Ste B,St Leon,IN,47012,-84.9741916,39.2792271,39.2792271+-84.9741916
NA,1575,Ripley-Ohio-Dearborn Special Ed Cooperative,925 N Meridian St Ste 100,Sunman,IN,47041,-85.0994029,39.2454393,39.2454393+-85.0994029
1800240,1600,South Dearborn Community School Corporation,6109 Squire Pl,Aurora,IN,47001,-84.93244539999999,39.0631799,39.0631799+-84.9324454
1805700,1620,Lawrenceburg Community School Corporation,300 Tiger Blvd,Lawrenceburg,IN,47025,-84.8515194,39.1005703,39.1005703+-84.8515194
1802610,1655,Decatur County Community Schools,2020 N Montgomery Rd,Greensburg,IN,47240,-85.4695443,39.3576501,39.3576501+-85.4695443
1804080,1730,Greensburg Community Schools,1312 W Westridge Pky,Greensburg,IN,47240,-85.503565,39.35270149999999,39.3527015+-85.503565
1803060,1805,DeKalb County Eastern Community School District,300 E Washington St,Butler,IN,46721,-84.8683164,41.431321,41.431321+-84.8683164
1803840,1820,Garrett-Keyser-Butler Community School Corporation,801 E Houston St,Garrett,IN,46738,-85.1268665,41.3467725,41.3467725+-85.1268665
1801590,1835,DeKalb County Central United School District,3326 CR 427,Waterloo,IN,46793,-85.03670249999999,41.4097465,41.4097465+-85.0367025
1802660,1875,Delaware Community School Corporation,9750 N CR 200 E,Muncie,IN,47303,-85.4217108,40.07470379999999,40.0747038+-85.4217108
1804500,1885,Wes-Del Community Schools,10290 N CR 600 W,Gaston,IN,47342,-85.50043029999999,40.2820051,40.2820051+-85.5004303
1805880,1895,Liberty-Perry Community School Corporation,Box 337,Selma,IN,47383,-85.2688579,40.1917102,40.1917102+-85.2688579
1807020,1900,Cowan Community School Corporation,9401 S Nottingham,Muncie,IN,47302,-85.3931312,40.1080198,40.1080198+-85.3931312
1807230,1910,Yorktown Community Schools,2311 S Broadway St,Yorktown,IN,47396,-85.4932819,40.1719658,40.1719658+-85.4932819
1809840,1940,Daleville Community Schools,14300 W 2nd St,Daleville,IN,47334,-85.555199,40.11991190000001,40.1199119+-85.555199
1807320,1970,Muncie Community Schools,4301 S. Cowan Road,Muncie,IN,47303,-85.4057523,40.1545906,40.1545906+-85.4057523
1808120,2040,Northeast Dubois County School Corporation,5379 E Main St Box 158,Dubois,IN,47527,-86.80590409999999,38.4455714,38.4455714+-86.8059041
1810640,2100,Southeast Dubois County School Corporation,432 E 15th St,Ferdinand,IN,47532,-86.8573423,38.2289136,38.2289136+-86.8573423
1810870,2110,Southwest Dubois County School Corporation,105 West Sunset Drive,Huntingburg,IN,47542,-86.9611558,38.2767247,38.2767247+-86.9611558
1803960,2120,Greater Jasper Consolidated Schools,1520 St Charles St Suite 1,Jasper,IN,47546,-86.9514957,38.4005881,38.4005881+-86.9514957
1803480,2155,Fairfield Community Schools,67240 CR 31,Goshen,IN,46528,-85.76910749999999,41.5198641,41.5198641+-85.7691075
1800420,2260,Baugo Community Schools,29125 CR 22 W,Elkhart,IN,46517,-86.0247922,41.6358254,41.6358254+-86.0247922
1802400,2270,Concord Community Schools,59040 Minuteman Way,Elkhart,IN,46517,-85.92775089999999,41.6374023,41.6374023+-85.9277509
1806600,2275,Middlebury Community Schools,56853 Northridge Dr,Middlebury,IN,46540,-85.7261039,41.6705269,41.6705269+-85.7261039
1812240,2285,Wa-Nee Community Schools,1300 N Main St,Nappanee,IN,46550,-86.00223059999999,41.4532945,41.4532945+-86.0022306
1803270,2305,Elkhart Community Schools,2720 California Rd,Elkhart,IN,46514,-86.01654200000002,41.6960813,41.6960813+-86.016542
1803930,2315,Goshen Community Schools,613 E Purl St,Goshen,IN,46526,-85.82550549999999,41.5800861,41.5800861+-85.8255055
1803510,2395,Fayette County School Corporation,1401 Spartan Drive,Connersville,IN,47331,-85.1654751,39.6320155,39.6320155+-85.1654751
1807410,2400,New Albany-Floyd County Consolidated School,2813 Grant Line PO Box 1087,New Albany,IN,47150,-85.8216656,38.317675,38.317675+-85.8216656
1800210,2435,Attica Consolidated School Corporation,205 E Sycamore St,Attica,IN,47918,-87.2504943,40.2763494,40.2763494+-87.2504943
1802430,2440,Covington Community School Corporation,601 Market St,Covington,IN,47932,-87.39491,40.1442623,40.1442623+-87.39491
1810620,2455,Southeast Fountain School Corporation,744 E US Hwy 136,Veedersburg,IN,47987,-87.315663,40.1249432,40.1249432+-87.315663
1803700,2475,Franklin County Community School Corporation,225 E 10th St,Brookville,IN,47012,-85.01010819999999,39.4258273,39.4258273+-85.0101082
1809630,2645,Rochester Community School Corporation,690 Zebra Ln Box 108,Rochester,IN,46975,-86.2248023,41.05549970000001,41.0554997+-86.2248023
1801410,2650,Caston School Corporation,9815 S State Rd 25,Rochester,IN,46975,-86.2822388,40.9117014,40.9117014+-86.2822388
1802940,2725,East Gibson School Corporation,941 S. Franklin St.,Oakland City,IN,47660,-87.3512775,38.3295906,38.3295906+-87.3512775
1807770,2735,North Gibson School Corporation,1104 N Embree St,Princeton,IN,47670,-87.5797401,38.3664824,38.3664824+-87.5797401
1810350,2765,South Gibson School Corporation,3321 W 800 S,Fort Branch,IN,47648,-87.5756502,38.237926,38.237926+-87.5756502
1803030,2815,Eastbrook Community School Corporation,CR 560 S 900 E,Marion,IN,46953,-85.5047347,40.5449593,40.5449593+-85.5047347
1806240,2825,Madison-Grant United School Corporation,11580 S/E 00 W,Fairmount,IN,46928,-85.6719567,40.4219101,40.4219101+-85.6719567
1806870,2855,Mississinewa Community School Corporation,424 E S 'A' St,Gas City,IN,46933,-85.6089238,40.4869391,40.4869391+-85.6089238
1806390,2865,Marion Community Schools,750 W 26th St,Marion,IN,46953,-85.66869109999999,40.5389673,40.5389673+-85.6686911
1800600,2920,Bloomfield School District,501 W Spring St.,Bloomfield,IN,47424,-86.9459796,39.0255378,39.0255378+-86.9459796
1803090,2940,Eastern Greene Schools,1471 N SR 43,Bloomfield,IN,47424,-86.7445054,39.0435779,39.0435779+-86.7445054
1805910,2950,Linton-Stockton School Corporation,109 I Street NE,Linton,IN,47441,-87.1608245,39.0424828,39.0424828+-87.1608245
1810110,2960,Metropolitan School District Shakamak Schools,9233 Shakamak School Rd,Jasonville,IN,47438,-87.2123124,39.1595628,39.1595628+-87.2123124
1800008,2980,White River Valley School District,PO Box 1470,Switz City,IN,47465,-87.053,39.0349999,39.0349999+-87.053
1800007,2990,Greene-Sullivan Special Ed Cooperative,77 'A' St NE,Linton,IN,47441,-87.16538899999999,39.0346794,39.0346794+-87.165389
1810650,3005,Hamilton Southeastern Schools,13485 Cumberland Rd,Fishers,IN,46038,-85.99644909999999,39.9843584,39.9843584+-85.9964491
1804260,3025,Hamilton Heights School Corporation,PO Box 469,Arcadia,IN,46030,-86.0216521,40.1758704,40.1758704+-86.0216521
1813080,3030,Westfield-Washington Schools,19500 Tomlinson Rd.,Westfield,IN,46074,-86.138875,40.070938,40.070938+-86.138875
1806480,3055,Sheridan Community Schools,24795 N Hinesley Rd,Sheridan,IN,46069,-86.21672319999999,40.1470545,40.1470545+-86.2167232
1801200,3060,Carmel Clay Schools,5201 E Main St,Carmel,IN,46033,-86.0810734,39.9777936,39.9777936+-86.0810734
1807650,3070,Noblesville Schools,18025 River Ave,Noblesville,IN,46062,-86.02813390000001,40.0498983,40.0498983+-86.0281339
1810710,3115,Southern Hancock County Community School Corporation,PO Box 508,New Palestine,IN,46163,-85.88914710000002,39.7219882,39.7219882+-85.8891471
1804050,3125,Greenfield-Central Community Schools,110 W North St,Greenfield,IN,46140,-85.77118999999999,39.78642749999999,39.7864275+-85.77119
1807260,3135,Mt Vernon Community School Corporation,1806 W SR 234,Fortville,IN,46040,-85.8391856,39.9024738,39.9024738+-85.8391856
1803120,3145,Eastern Hancock County Community School Corporation,10370 E 250 N,Charlottesville,IN,46117,-85.6097157,39.8237214,39.8237214+-85.6097157
1803720,3160,Lanesville Community School Corporation,2725 Crestview Ave NE,Lanesville,IN,47136,-85.9887129,38.2391774,38.2391774+-85.9887129
1800690,3180,North Harrison Community School Corporation,1260 Hwy 64 NW,Ramsey,IN,47166,-86.1478698,38.3218615,38.3218615+-86.1478698
1810360,3190,South Harrison Community Schools,315 S Harrison Dr,Corydon,IN,47112,-86.1216231,38.2029197,38.2029197+-86.1216231
1808100,3295,North West Hendricks Schools,Box 70,Lizton,IN,46149,-86.5433345,39.8867109,39.8867109+-86.5433345
1801020,3305,Brownsburg Community School Corporation,310 Stadium Dr,Brownsburg,IN,46112,-86.3897746,39.8383876,39.8383876+-86.3897746
1800270,3315,Avon Community School Corporation,7203 E US Hwy 36,Avon,IN,46123,-86.383533,39.749329,39.749329+-86.383533
1802550,3325,Danville Community School Corporation,200 Warrior Way,Danville,IN,46122,-86.5418426,39.7589247,39.7589247+-86.5418426
1808970,3330,Plainfield Community School Corporation,985 S Longfellow Dr,Plainfield,IN,46168,-86.39569639999999,39.6942444,39.6942444+-86.3956964
1806660,3335,Mill Creek Community School Corporation,6631 S CR 200 W,Clayton,IN,46118,-86.5596699,39.6645799,39.6645799+-86.5596699
1800660,3405,Blue River Valley Schools,3038 US Highway 36 East,New Castle,IN,47362,-85.3342973,39.9901455,39.7764481+-93.475583
1810380,3415,South Henry School Corporation,6972 S SR 103,Straughn,IN,47387,-85.35113220000001,39.8322102,39.8322102+-85.3511322
1808280,3435,Shenandoah School Corporation,5100 N Raider Rd,Middletown,IN,47356,-85.5260112,40.0057767,40.0057767+-85.5260112
1807440,3445,New Castle Community School Corporation,322 Elliott Ave,New Castle,IN,47362,-85.3802642,39.9261272,39.9261272+-85.3802642
1801060,3455,C A Beard Memorial School Corporation,8139 W US 40,Knightstown,IN,46148,-85.5874135,39.7921207,39.7921207+-85.5874135
1811250,3460,Taylor Community School Corporation,3750 E CR 300 S,Kokomo,IN,46902,-86.13360329999999,40.486427,40.486427+-86.1336033
1802040,3470,Northwestern School Corporation,3075 N Washington St,Kokomo,IN,46901,-86.1283297,40.5212014,40.5212014+-86.1283297
1803150,3480,Eastern Howard School Corporation,221 W Main Suite One,Greentown,IN,46936,-85.966644,40.475289,40.475289+-85.966644
1804470,3490,Western School Corporation,2600 S 600 W,Russiaville,IN,46979,-86.2433576,40.4372743,40.4372743+-86.2433576
1805370,3500,Kokomo School Corporation,1500 S Washington PO Box 2188,Kokomo,IN,46904,-86.13279949999999,40.4687983,40.4687983+-86.1327995
1804710,3625,Huntington County Community School Corporation,1063 E 900 S,Warren,IN,46792,-85.427556,40.695733,40.695733+-85.427556
1801230,3640,Medora Community School Corporation,PO Box 369,Medora,IN,47260,-86.1699827,38.8250535,38.8250535+-86.1699827
1810080,3675,Seymour Community Schools,1420 Corporate Way,Seymour,IN,47274,-85.909929,38.9485714,38.9485714+-85.909929
1801050,3695,Brownstown Central Community School Corporation,608 W Commerce St,Brownstown,IN,47220,-86.04941529999999,38.8781306,38.8781306+-86.0494153
1812060,3710,Crothersville Community Schools,201 S Preston St,Crothersville,IN,47229,-85.8360541,38.7963604,38.7963604+-85.8360541
1805280,3785,Kankakee Valley School Corporation,PO Box 278,Wheatfield,IN,46392,-87.05558049999999,41.19309399999999,41.193094+-87.0555805
1809420,3815,Rensselaer Central School Corporation,900 E Washington St,Rensselaer,IN,47978,-87.1405929,40.9385132,40.9385132+-87.1405929
1804980,3945,Jay School Corporation,1976 W Tyson Rd,Portland,IN,47371,-85.0056001,40.4323066,40.4323066+-85.0056001
1806120,3995,Madison Consolidated Schools,2421 Wilson Ave,Madison,IN,47250,-85.407156,38.772761,38.772761+-85.407156
1810800,4000,Southwestern-Jefferson County Consolidated,239 S Main Cross St,Hanover,IN,47243,-85.47357149999999,38.7077572,38.7077572+-85.4735715
1806100,4005,Madison Area Ed Special Srv Unit,702 Elm St,Madison,IN,47250,-85.3834913,38.7397255,38.7397255+-85.3834913
1805190,4015,Jennings County School Corporation,34 Main St,North Vernon,IN,47265,-85.6235796,39.006165,39.006165+-85.6235796
1805240,4135,Earlywood Educational Services,500 Earlywood Dr,Franklin,IN,46131,-86.0735797,39.52124269999999,39.5212427+-86.0735797
1801890,4145,Clark-Pleasant Community School Corporation,50 Center St,Whiteland,IN,46184,-86.0806424,39.5506954,39.5506954+-86.0806424
1801440,4205,Center Grove Community School Corporation,4800 W Stones Crossing Rd,Greenwood,IN,46143,-86.1906174,39.5780159,39.5780159+-86.1906174
1803240,4215,Edinburgh Community School Corporation,202 S Keeley St,Edinburgh,IN,46124,-85.9700055,39.3529242,39.3529242+-85.9700055
1803690,4225,Franklin Community School Corporation,998 Grizzly Cub Dr,Franklin,IN,46131,-86.06342699999999,39.4903895,39.4903895+-86.063427
1804110,4245,Greenwood Community School Corporation,605 W Smith Valley Rd,Greenwood,IN,46142,-86.1164517,39.6056939,39.6056939+-86.1164517
1807620,4255,Nineveh-Hensley-Jackson United,802 S Indian Creek Dr,Trafalgar,IN,46181,-86.1586032,39.409751,39.409751+-86.1586032
1801470,4265,Central Nine Career Center,1999 US 31 S,Greenwood,IN,46143,-86.099699,39.5890955,39.5890955+-86.099699
1807830,4315,North Knox School Corporation,11110 N SR 159,Bicknell,IN,47512,-87.30964,38.7910527,38.7910527+-87.30964
1810410,4325,South Knox School Corporation,6116 E SR 61,Vincennes,IN,47591,-87.4236566,38.63647599999999,38.636476+-87.4236566
1812120,4335,Vincennes Community School Corporation,1712 S Quail Run Road,Vincennes,IN,47591,-87.49570849999999,38.6507891,38.6507891+-87.4957085
1805550,4345,Wawasee Community School Corporation,801 S Sycamore St,Syracuse,IN,46567,-85.7494001,41.41395259999999,41.4139526+-85.7494001
1812420,4415,Warsaw Community Schools,PO Box 288,Warsaw,IN,46581,-85.85,41.23999999999999,41.24+-85.85
1811370,4445,Tippecanoe Valley School Corporation,8343 S SR 19,Akron,IN,46910,-86.03873879999999,41.1111783,41.1111783+-86.0387388
1813230,4455,Whitko Community School Corporation,"710 N SR 5, Suite B",Larwill,IN,46764,-85.6255391,41.1806012,41.1806012+-85.6255391
1809300,4515,Prairie Heights Community School Corporation,0305 S 1150 E,LaGrange,IN,46761,-85.2019378,41.6372788,41.6372788+-85.2019378
1813110,4525,Westview School Corporation,1545 S 600 W,Topeka,IN,46571,-85.5403575,41.60453,41.60453+-85.5403575
1805520,4535,Lakeland School Corporation,0825 E 075 N,LaGrange,IN,46761,-85.4088982,41.6542965,41.6542965+-85.4088982
1808320,4570,Northwest Indiana Special Education Cooperative,2150 W 97th Pl,Crown Point,IN,46307,-87.36044489999999,41.4412508,41.4412508+-87.3604449
1804350,4580,Hanover Community School Corporation,PO Box 645,Cedar Lake,IN,46303,-87.4411473,41.3647578,41.3647578+-87.4411473
1804620,4590,River Forest Community School Corporation,3250 Michigan St,Hobart,IN,46342,-87.2749975,41.5585088,41.5585088+-87.2749975
1809690,4600,Merrillville Community School Corporation,6701 Delaware St,Merrillville,IN,46410,-87.33030099999999,41.49660240000001,41.4966024+-87.330301
1805450,4615,Lake Central School Corporation,8260 Wicker Ave,Saint John,IN,46373,-87.47268079999999,41.4669846,41.4669846+-87.4726808
1811460,4645,Tri-Creek School Corporation,19290 Cline Avenue,Lowell,IN,46356,-87.42943600000001,41.26759089999999,41.2675909+-87.429436
1805460,4650,Lake Ridge New Tech Schools,6111 W Ridge Rd,Gary,IN,46408,-87.4118812,41.5487171,41.5487171+-87.4118812
