corp_id,corp_name,schl_id,schl_name,ss_prof_pct
0015,Adams Central Community Schools,0020,Adams Central Elementary School,0.354
0025,North Adams Community Schools,0037,Bellmont Elementary,0.242
0035,South Adams Schools,0025,South Adams Elementary School,0.378
0125,MSD Southwest Allen County Schls,0045,Aboite Elementary School,0.733
0125,MSD Southwest Allen County Schls,0046,Whispering Meadow Elementary Sch,0.351
0125,MSD Southwest Allen County Schls,0064,Lafayette Meadow School,0.558
0125,MSD Southwest Allen County Schls,0068,Haverhill Elementary School,0.6
0125,MSD Southwest Allen County Schls,0071,Deer Ridge Elementary,0.6
0125,MSD Southwest Allen County Schls,0072,Covington Elementary School,0.435
0225,Northwest Allen County Schools,0069,Arcola School,0.697
0225,Northwest Allen County Schools,0087,Hickory Center Elementary School,0.623
0225,Northwest Allen County Schools,0089,Huntertown Elementary School,0.434
0225,Northwest Allen County Schools,0092,Perry Hill Elementary School,0.627
0225,Northwest Allen County Schools,0094,Oak View Elementary School,0.663
0225,Northwest Allen County Schools,0095,Cedar Canyon Elementary School,0.742
0225,Northwest Allen County Schools,0096,Eel River Elementary School,0.619
0225,Northwest Allen County Schools,0098,Aspen Meadow Elementary School,0.438
0235,Fort Wayne Community Schools,0118,Jeff H Towles Intermediate School,0.25
0235,Fort Wayne Community Schools,0134,Weisser Park Elementary School,0.561
0235,Fort Wayne Community Schools,0136,Fairfield Elementary School,0.109
0235,Fort Wayne Community Schools,0137,Merle J Abbett Elementary School,0.04
0235,Fort Wayne Community Schools,0141,Adams Elementary School,0.047
0235,Fort Wayne Community Schools,0149,Bloomingdale Elementary School,0.073
0235,Fort Wayne Community Schools,0153,Brentwood Elementary School,0.19
0235,Fort Wayne Community Schools,0154,Fred H Croninger Elementary School,0.747
0235,Fort Wayne Community Schools,0157,Forest Park Elementary School,0.192
0235,Fort Wayne Community Schools,0161,Franke Park Elementary School,0.28
0235,Fort Wayne Community Schools,0162,Glenwood Park Elementary School,0.24
0235,Fort Wayne Community Schools,0164,J Wilbur Haley Elementary School,0.22
0235,Fort Wayne Community Schools,0178,Harrison Hill Elementary School,0.133
0235,Fort Wayne Community Schools,0186,Mabel K Holland Elementary School,0.328
0235,Fort Wayne Community Schools,0189,Indian Village Elementary School,0.137
0235,Fort Wayne Community Schools,0193,John S Irwin Elementary School,0.298
0235,Fort Wayne Community Schools,0197,Lindley Elementary School,0.184
0235,Fort Wayne Community Schools,0205,Maplewood Elementary School,0.123
0235,Fort Wayne Community Schools,0209,Willard Shambaugh Elementary Sch,0.259
0235,Fort Wayne Community Schools,0217,Northcrest Elementary School,0.161
0235,Fort Wayne Community Schools,0221,Francis M Price Elementary School,0.31
0235,Fort Wayne Community Schools,0233,Saint Joseph Central School,0.281
0235,Fort Wayne Community Schools,0239,Robert C Harris Elementary School,0.346
0235,Fort Wayne Community Schools,0248,Fort Wayne Virtual Academy,0.467
0235,Fort Wayne Community Schools,0249,Levan R Scott Academy,0.018
0235,Fort Wayne Community Schools,0253,South Wayne Elementary School,0.118
0235,Fort Wayne Community Schools,0257,Study Elementary School,0.047
0235,Fort Wayne Community Schools,0265,Washington Elementary School,0.229
0235,Fort Wayne Community Schools,0269,Washington Center Elementary Sch,0.188
0235,Fort Wayne Community Schools,0270,Lincoln Elementary School,0.263
0235,Fort Wayne Community Schools,0273,Waynedale Elementary School,0.203
0235,Fort Wayne Community Schools,0275,Arlington Elementary School,0.365
0255,East Allen County Schools,0043,Prince Chapman Academy,0.088
0255,East Allen County Schools,0053,Leo Elementary School,0.602
0255,East Allen County Schools,0281,Heritage Elementary School,0.519
0255,East Allen County Schools,0305,New Haven Intermediate School,0.326
0255,East Allen County Schools,0323,Woodlan Elementary School,0.516
0365,Bartholomew Con School Corp,0328,Clifty Creek Elementary School,0.388
0365,Bartholomew Con School Corp,0346,CSA Lincoln Campus,0.519
0365,Bartholomew Con School Corp,0353,Mount Healthy Elementary School,0.19
0365,Bartholomew Con School Corp,0357,Parkside Elementary School,0.536
0365,Bartholomew Con School Corp,0363,W D Richards Elementary School,0.295
0365,Bartholomew Con School Corp,0366,Rockcreek Elementary School,0.34
0365,Bartholomew Con School Corp,0369,Lillian Schmitt Elementary School,0.368
0365,Bartholomew Con School Corp,0371,L F Smith Elementary,0.433
0365,Bartholomew Con School Corp,0375,CSA Fodrea Campus,0.231
0365,Bartholomew Con School Corp,0377,Taylorsville Elementary School,0.23
0365,Bartholomew Con School Corp,0392,Southside Elementary School,0.511
0370,Flat Rock-Hawcreek School Corp,0409,Hope Elementary School,0.466
0395,Benton Community School Corp,0421,Otterbein Elementary School,0.341
0395,Benton Community School Corp,0446,Prairie Crossing Elementary School,0.462
0515,Blackford County Schools,0494,Blackford Intermediate School,0.441
0615,Western Boone Co Com Sch Dist,0521,Granville Wells Elementary School,0.491
0615,Western Boone Co Com Sch Dist,0537,Thorntown Elementary School,0.672
0630,Zionsville Community Schools,0510,Zionsville West Middle School,0.699
0630,Zionsville Community Schools,0511,Zionsville Middle School,0.807
0665,Lebanon Community School Corp,0534,Perry Worth Elementary School,0.522
0665,Lebanon Community School Corp,0561,Central Elementary School,0.429
0665,Lebanon Community School Corp,0565,Harney Elementary School,0.302
0665,Lebanon Community School Corp,0569,Hattie B Stokes Elementary School,0.268
0670,Brown County School Corporation,0577,Van Buren Elementary School,0.543
0670,Brown County School Corporation,0581,Helmsburg Elementary School,0.568
0670,Brown County School Corporation,0585,Sprunica Elementary School,0.375
0750,Carroll Consolidated School Corp,0629,Carroll Elementary School,0.377
0755,Delphi Community School Corp,0641,Delphi Community Elementary School,0.45
0775,Pioneer Regional School Corp,0649,Pioneer Elementary School,0.462
0815,Lewis Cass Schools,0695,Lewis Cass Elementary School,0.352
0875,Logansport Community Sch Corp,0705,Franklin Elementary School,0.164
0875,Logansport Community Sch Corp,0709,Fairview Elementary School,0.094
0875,Logansport Community Sch Corp,0711,Landis Elementary School,0.215
0875,Logansport Community Sch Corp,0713,Columbia Elementary School,0.25
0875,Logansport Community Sch Corp,0715,Logansport Intermediate School,NA
0935,Borden-Henryville School Corporation,0767,Henryville Elementary School,0.34
0935,Borden-Henryville School Corporation,0815,William W Borden Elementary School,0.312
0945,Silver Creek School Corporation,0789,Silver Creek Elementary School,0.279
1000,Clarksville Community School Corp,0851,Clarksville Middle School,0.291
1000,Clarksville Community School Corp,1007,Indiana Gateway Digital Academy,0.085
1010,Greater Clark County Schools,0755,W E Wilson Elementary,0.2
1010,Greater Clark County Schools,0761,Thomas Jefferson Elementary School,0.213
1010,Greater Clark County Schools,0801,Northaven Elementary School,0.184
1010,Greater Clark County Schools,0805,Utica Elementary School,0.402
1010,Greater Clark County Schools,0807,New Washington Elementary School,0.245
1010,Greater Clark County Schools,0825,Jonathan Jennings Elementary Sch,0.346
1010,Greater Clark County Schools,0871,Riverside Elementary School,0.38
1010,Greater Clark County Schools,0874,Franklin Square Elementary School,0.132
1010,Greater Clark County Schools,0879,Parkwood Elementary School,0.131
1125,Clay Community Schools,0895,Clay City Elementary School,0.508
1125,Clay Community Schools,0901,Jackson Township Elementary School,0.611
1125,Clay Community Schools,0907,Staunton Elementary School,0.694
1125,Clay Community Schools,0923,Van Buren Elementary School,0.591
1125,Clay Community Schools,0941,East Side Elementary School,0.538
1125,Clay Community Schools,0942,Forest Park Elementary School,0.32
1125,Clay Community Schools,0949,Meridian Street Elementary School,0.41
1150,Clinton Central School Corporation,0961,Clinton Central Elementary School,0.435
1160,Clinton Prairie School Corporation,0981,Clinton Prairie Elementary School,0.345
1170,Community Schools of Frankfort,1015,Green Meadows Intermediate Elem,0.188
1170,Community Schools of Frankfort,1020,Suncrest Elementary School,0.138
1180,Rossville Con School District,1033,Rossville Elementary School,0.565
1300,Crawford County Community Sch Corp,1037,South Crawford Elementary School,0.043
1300,Crawford County Community Sch Corp,1045,West Crawford Elementary School,0.419
1300,Crawford County Community Sch Corp,1065,East Crawford Elementary School,0.512
1315,Barr-Reeve Community Schools Inc,1075,Barr Reeve Elementary School,0.507
1375,North Daviess Com Schools,1090,North Daviess Elementary School,0.613
1405,Washington Community Schools,1129,Washington Upper Elementary,0.323
1560,Sunman-Dearborn Com Sch Corp,1189,North Dearborn Elementary School,0.746
1560,Sunman-Dearborn Com Sch Corp,1193,Bright Elementary School,0.604
1560,Sunman-Dearborn Com Sch Corp,7211,Sunman Elementary School,0.44
1600,South Dearborn Community Sch Corp,1141,Dillsboro Elementary School,0.556
1600,South Dearborn Community Sch Corp,1165,Manchester Elementary School,0.393
1600,South Dearborn Community Sch Corp,1197,Aurora Elementary School,0.241
1620,Lawrenceburg Community School Corp,1217,Central Elementary School,0.44
1655,Decatur County Community Schools,1265,South Decatur Elementary School,0.35
1655,Decatur County Community Schools,1266,North Decatur Elementary School,0.632
1730,Greensburg Community Schools,1270,Greensburg Elementary,0.403
1805,DeKalb Co Eastern Com Sch Dist,1321,Butler Elementary School,0.397
1805,DeKalb Co Eastern Com Sch Dist,1335,Riverdale Elementary School,0.5
1820,Garrett-Keyser-Butler Com Sch Corp,1329,J E Ober Elementary School,0.266
1835,DeKalb Co Ctl United Sch Dist,1341,Waterloo Elementary School,0.161
1835,DeKalb Co Ctl United Sch Dist,1351,James R Watson Elementary School,0.57
1835,DeKalb Co Ctl United Sch Dist,1357,McKenney-Harrison Elementary Sch,0.434
1835,DeKalb Co Ctl United Sch Dist,1359,Country Meadow Elementary School,0.261
1875,Delaware Community School Corp,1365,Royerton Elementary School,0.616
1875,Delaware Community School Corp,1409,Eaton Elementary School,0.566
1875,Delaware Community School Corp,1520,Albany Elementary School,0.667
1885,Wes-Del Community Schools,1413,Wes-Del Elementary School,0.47
1895,Liberty-Perry Community Sch Corp,1381,Selma Elementary School,0.598
1900,Cowan Community School Corp,1385,Cowan Elementary School,0.492
1910,Yorktown Community Schools,1393,Yorktown Elementary School,0.47
1940,Daleville Community Schools,1405,Daleville Elementary School,0.284
1970,Muncie Community Schools,1470,Grissom Elementary School,0.148
1970,Muncie Community Schools,1482,South View Elementary School,0.034
1970,Muncie Community Schools,1485,Longfellow Elementary School,0.043
1970,Muncie Community Schools,1496,North View Elementary School,0.37
1970,Muncie Community Schools,1500,Muncie Virtual Academy,NA
1970,Muncie Community Schools,1513,East Washington Academy,0.338
1970,Muncie Community Schools,1517,West View Elementary School,0.333
2040,Northeast Dubois Co Sch Corp,1549,Northeast Dubois Intermediate School,0.4
2100,Southeast Dubois Co Sch Corp,1586,Cedar Crest Intermediate School,0.578
2110,Southwest Dubois Co Sch Corp,1529,Holland Elementary School,0.447
2110,Southwest Dubois Co Sch Corp,1590,Huntingburg Elementary School,0.361
2120,Greater Jasper Consolidated Schs,1569,Ireland Elementary School,0.688
2120,Greater Jasper Consolidated Schs,1601,Jasper Elementary School,0.443
2155,Fairfield Community Schools,1621,Millersburg Elementary- Middle Sch,0.438
2155,Fairfield Community Schools,1649,New Paris Elementary School,0.308
2155,Fairfield Community Schools,1652,Benton Elementary School,0.364
2260,Baugo Community Schools,1707,Jimtown Intermediate School,0.36
2270,Concord Community Schools,1718,Concord Intermediate School,0.276
2275,Middlebury Community Schools,1731,Heritage Intermediate School,0.415
2285,Wa-Nee Community Schools,1735,Wakarusa Elementary School,0.683
2285,Wa-Nee Community Schools,1743,Nappanee Elementary School,0.451
2285,Wa-Nee Community Schools,1747,Woodview Elementary School,0.485
2305,Elkhart Community Schools,1617,Cleveland Elementary School,0.083
2305,Elkhart Community Schools,1673,Osolo Elementary School,0.111
2305,Elkhart Community Schools,1679,Eastwood Elementary School,0.188
2305,Elkhart Community Schools,1681,Mary Feeser Elementary School,0.125
2305,Elkhart Community Schools,1693,Bristol Elementary School,0.105
2305,Elkhart Community Schools,1752,Elkhart Alternative Education,NA
2305,Elkhart Community Schools,1765,Beardsley Elementary School,0.065
2305,Elkhart Community Schools,1769,Mary Beck Elementary School,0.019
2305,Elkhart Community Schools,1773,Mary Daly Elementary School,0.056
2305,Elkhart Community Schools,1785,Pinewood Elementary School,0.238
2305,Elkhart Community Schools,1789,Monger Elementary School,0.226
2305,Elkhart Community Schools,1797,Riverview Elementary School,0.327
2305,Elkhart Community Schools,1801,Roosevelt STEAM Academy,0.212
2305,Elkhart Community Schools,1817,Woodland Elementary School,0.14
2315,Goshen Community Schools,2318,Goshen Intermediate School,0.223
2395,Fayette County School Corporation,1869,Everton Elementary School,0.244
2395,Fayette County School Corporation,1897,Eastview Elementary School,0.333
2395,Fayette County School Corporation,1909,Frazee Elementary School,0.405
2395,Fayette County School Corporation,1913,Grandview Elementary School,0.308
2395,Fayette County School Corporation,1921,Fayette Central Elementary,0.475
2400,New Albany-Floyd Co Con Sch,1931,Highland Hills Middle School,0.511
2400,New Albany-Floyd Co Con Sch,1933,Hazelwood Middle School,0.232
2400,New Albany-Floyd Co Con Sch,1937,Nathaniel Scribner Middle School,0.294
2435,Attica Consolidated School Corp,2057,Attica Elementary School,0.433
2440,Covington Community School Corp,2009,Covington Elementary School,0.478
2455,Southeast Fountain School Corp,2021,Southeast Fountain Elementary,0.607
2475,Franklin County Community Sch Corp,2082,Laurel School,0.27
2475,Franklin County Community Sch Corp,2125,Brookville Elementary School,0.5
2475,Franklin County Community Sch Corp,2127,Mount Carmel School,0.703
2645,Rochester Community School Corp,2177,Rochester Community Middle School,0.42
2650,Caston School Corporation,2157,Caston Elementary School,0.436
2725,East Gibson School Corporation,2189,Barton Township Elementary,0.5
2725,East Gibson School Corporation,2201,Francisco Elementary School,NA
2725,East Gibson School Corporation,2237,Oakland City Elementary School,0.375
2735,North Gibson School Corporation,2223,Princeton Comm Intermediate School,0.216
2765,South Gibson School Corporation,2205,Haubstadt Community School,0.512
2765,South Gibson School Corporation,2214,Fort Branch Community School,0.613
2765,South Gibson School Corporation,2241,Owensville Community School,0.585
2815,Eastbrook Community Sch Corp,2263,Eastbrook South Elementary,0.6
2815,Eastbrook Community Sch Corp,2264,Eastbrook North Elementary,0.3
2825,Madison-Grant United School Corp,2329,Park Elementary School,0.628
2825,Madison-Grant United School Corp,2834,Virtual Preparatory Academy of Indiana at Madison-Grant K-5,0.115
2855,Mississinewa Community School Corp,2346,Northview Elementary School,0.312
2865,Marion Community Schools,2350,Justice Thurgood Marshall Intrmd,0.131
2920,Bloomfield School District,2417,Bloomfield Elementary School,0.447
2940,Eastern Greene Schools,2436,Eastern Greene Middle School,0.31
2950,Linton-Stockton School Corporation,2441,Linton-Stockton Elementary,0.337
2960,MSD Shakamak Schools,2449,Shakamak Elementary School,0.319
2980,White River Valley School District,2457,White River Valley Middle School,0.395
3005,Hamilton Southeastern Schools,2479,Sand Creek Intermediate School,0.518
3005,Hamilton Southeastern Schools,2485,Fall Creek Intermediate School,0.524
3005,Hamilton Southeastern Schools,2489,Hamilton SE Int and Jr High Sch,0.584
3005,Hamilton Southeastern Schools,2500,Riverside Intermediate School,0.622
3025,Hamilton Heights School Corp,2501,Hamilton Heights Middle School,0.43
3030,Westfield-Washington Schools,2503,Westfield Intermediate School,0.637
3055,Sheridan Community Schools,2465,Sheridan Elementary School,0.44
3060,Carmel Clay Schools,2507,Woodbrook Elementary School,0.781
3060,Carmel Clay Schools,2508,Cherry Tree Elementary School,0.826
3060,Carmel Clay Schools,2509,Carmel Elementary School,0.647
3060,Carmel Clay Schools,2510,College Wood Elementary School,0.786
3060,Carmel Clay Schools,2512,Smoky Row Elementary School,0.724
3060,Carmel Clay Schools,2515,Prairie Trace Elementary School,0.795
3060,Carmel Clay Schools,2516,Mohawk Trails Elementary School,0.577
3060,Carmel Clay Schools,2518,Forest Dale Elementary School,0.584
3060,Carmel Clay Schools,2522,Towne Meadow Elementary School,0.817
3060,Carmel Clay Schools,2526,West Clay Elementary School,0.76
3060,Carmel Clay Schools,3071,Clay Center Elementary School,0.727
3070,Noblesville Schools,2523,Hinkle Creek Elementary School,0.567
3070,Noblesville Schools,2529,North Elementary School,0.435
3070,Noblesville Schools,2533,Stony Creek Elementary School,0.442
3070,Noblesville Schools,2537,Noble Crossing Elementary School,0.496
3070,Noblesville Schools,2538,Hazel Dell Elementary School,0.663
3070,Noblesville Schools,2539,Promise Road Elementary,0.596
3070,Noblesville Schools,2547,White River Elementary School,0.43
3115,Southern Hancock Co Com Sch Corp,2543,New Palestine Intermediate School,0.429
3125,Greenfield-Central Com Schools,2577,Maxwell Intermediate School,0.452
3125,Greenfield-Central Com Schools,2593,Greenfield Intermediate School,0.275
3135,Mt Vernon Community School Corp,2558,Fortville Elementary School,0.38
3135,Mt Vernon Community School Corp,2561,Mt Comfort Elementary School,0.346
3135,Mt Vernon Community School Corp,2570,McCordsville Elementary School,0.558
3145,Eastern Hancock Co Com Sch Corp,2586,Eastern Hancock Elementary School,0.59
3160,Lanesville Community School Corp,2611,Lanesville Elementary School,0.492
3180,North Harrison Com School Corp,2621,Morgan Elementary School,0.39
3180,North Harrison Com School Corp,2633,North Harrison Elementary School,0.354
3190,South Harrison Com Schools,2649,New Middletown Elementary School,0.143
3190,South Harrison Com Schools,2653,Heth-Washington Elementary School,0.308
3190,South Harrison Com Schools,2663,Corydon Intermediate School,0.507
3190,South Harrison Com Schools,2667,South Central Elementary,0.412
3295,North West Hendricks Schools,2685,North Salem Elementary School,0.588
3295,North West Hendricks Schools,2725,Pittsboro Elementary School,0.597
3305,Brownsburg Community School Corp,2706,Brown Elementary School,0.615
3305,Brownsburg Community School Corp,2711,Eagle Elementary School,0.672
3305,Brownsburg Community School Corp,2714,Reagan Elementary School,0.663
3305,Brownsburg Community School Corp,2718,Delaware Trail Elementary School,0.574
3305,Brownsburg Community School Corp,2723,White Lick Elementary School,0.614
3305,Brownsburg Community School Corp,2727,Cardinal Elementary School,0.582
3305,Brownsburg Community School Corp,2744,Lincoln Elementary School,0.617
3315,Avon Community School Corp,2728,Avon Intermediate School East,0.526
3315,Avon Community School Corp,2729,Avon Intermediate School West,0.413
3325,Danville Community School Corp,2743,Danville Middle School,0.438
3330,Plainfield Community School Corp,2748,Clarks Creek Elementary,0.475
3330,Plainfield Community School Corp,2751,Central Elementary School,0.718
3330,Plainfield Community School Corp,2761,Van Buren Elementary School,0.531
3330,Plainfield Community School Corp,2763,Brentwood Elementary School,0.507
3330,Plainfield Community School Corp,3331,Pride Academy,NA
3330,Plainfield Community School Corp,3338,Guilford Elementary,0.573
3335,Mill Creek Community Sch Corp,2675,Mill Creek East Elementary,0.362
3335,Mill Creek Community Sch Corp,2677,Mill Creek West Elementary,0.469
3405,Blue River Valley Schools,2803,Blue River Valley Elementary Sch,0.146
3415,South Henry School Corp,2777,Tri Elementary School,0.4
3435,Shenandoah School Corporation,2815,Shenandoah Elementary School,0.48
3445,New Castle Community School Corp,2832,Eastwood Elementary School,0.032
3445,New Castle Community School Corp,2847,Parker Elementary School,0.081
3445,New Castle Community School Corp,2849,James Whitcomb Riley Elem School,0.438
3445,New Castle Community School Corp,2861,Westwood Elementary School,0.462
3445,New Castle Community School Corp,2865,Wilbur Wright Elementary School,0.42
3455,C A Beard Memorial School Corp,2870,Knightstown Intermediate School,0.258
3460,Taylor Community School Corp,2896,Taylor Middle School,0.13
3470,Northwestern School Corp,2904,Northwestern Elementary School,0.491
3470,Northwestern School Corp,2905,Howard Elementary School,0.182
3480,Eastern Howard School Corporation,2914,Eastern Middle School,0.504
3490,Western School Corporation,2923,Western Intermediate School,0.577
3500,Kokomo School Corporation,2943,Sycamore Elementary School,0.164
3500,Kokomo School Corporation,2947,Boulevard Elementary School,0.193
3500,Kokomo School Corporation,2961,Elwood Haynes Elementary School,0.14
3500,Kokomo School Corporation,2969,Lafayette Park Elementary School,0.309
3500,Kokomo School Corporation,2993,Pettit Park School,0.122
3500,Kokomo School Corporation,3005,Wallace Elementary School,0.452
3625,Huntington Co Com Sch Corp,3021,Andrews Elementary School,0.492
3625,Huntington Co Com Sch Corp,3029,Roanoke Elementary School,0.576
3625,Huntington Co Com Sch Corp,3035,Salamonie Elementary School,0.269
3625,Huntington Co Com Sch Corp,3077,Flint Springs Elementary,0.5
